iter	Passed	Remaining
455	936	1117
456	938	1115
457	940	1112
458	941	1109
459	942	1106
460	944	1104
461	946	1101
462	947	1099
463	949	1096
464	950	1094
465	952	1091
466	954	1089
467	956	1087
468	958	1084
469	959	1082
470	961	1079
471	962	1077
472	964	1074
473	966	1071
474	968	1070
475	970	1068
476	972	1065
477	973	1063
478	975	1060
479	977	1058
480	978	1056
481	980	1054
482	983	1052
483	985	1050
484	987	1048
485	989	1046
486	991	1044
487	993	1041
488	994	1039
489	996	1037
490	998	1035
491	1000	1033
492	1002	1031
493	1004	1028
494	1006	1026
495	1008	1024
496	1009	1022
497	1011	1020
498	1014	1018
499	1015	1015
500	1017	1013
501	1019	1011
502	1021	1008
503	1022	1006
504	1024	1003
505	1025	1001
506	1027	999
507	1029	997
508	1031	994
509	1032	992
510	1034	990
511	1036	987
512	1038	985
513	1039	983
514	1041	980
515	1043	979
516	1045	976
517	1047	974
518	1049	972
519	1050	969
520	1052	967
521	1054	965
522	1055	962
523	1057	960
524	1059	958
525	1061	956
526	1062	953
527	1064	951
528	1066	949
529	1067	946
530	1069	944
531	1071	942
532	1073	940
533	1075	938
534	1077	936
535	1079	934
536	1080	931
537	1082	929
538	1084	927
539	1085	924
540	1087	922
541	1089	920
542	1090	918
543	1092	915
544	1093	913
545	1095	910
546	1097	908
547	1098	906
548	1100	903
549	1102	901
550	1104	899
551	1105	897
552	1107	895
553	1108	892
554	1110	890
555	1112	888
556	1114	886
557	1115	883
558	1117	881
559	1119	879
560	1120	876
561	1122	874
562	1123	872
563	1125	869
564	1126	867
565	1127	864
566	1129	862
567	1130	860
568	1132	857
569	1134	855
570	1135	853
571	1137	851
572	1139	848
573	1140	846
574	1142	844
575	1144	842
576	1145	839
577	1147	837
578	1149	835
579	1150	833
580	1152	831
581	1153	828
582	1155	826
583	1157	824
584	1158	822
585	1160	819
586	1161	817
587	1163	815
588	1165	813
589	1166	810
590	1168	808
591	1169	806
592	1171	803
593	1172	801
594	1174	799
595	1176	797
596	1177	795
597	1179	793
598	1181	790
599	1182	788
600	1184	786
601	1185	783
602	1187	781
603	1189	779
604	1191	777
605	1192	775
606	1195	773
607	1196	771
608	1198	769
609	1199	767
610	1201	764
611	1202	762
612	1204	760
613	1206	758
614	1208	756
615	1210	754
616	1211	752
617	1213	750
618	1215	747
619	1216	745
620	1218	743
621	1220	741
622	1221	739
623	1223	737
624	1225	735
625	1227	733
626	1229	731
627	1230	729
628	1232	727
629	1234	724
630	1236	722
631	1237	720
632	1239	718
633	1241	716
634	1243	714
635	1244	712
636	1246	710
637	1248	708
638	1250	706
639	1252	704
640	1254	702
641	1256	700
642	1257	698
643	1259	696
644	1261	694
645	1262	691
646	1264	689
647	1266	687
648	1268	685
649	1270	683
650	1272	681
651	1274	680
652	1276	678
653	1278	676
654	1280	674
655	1282	672
656	1284	670
657	1286	668
658	1288	666
659	1290	664
660	1292	662
661	1294	660
662	1295	658
663	1297	656
664	1299	654
665	1301	652
666	1302	650
667	1304	648
668	1305	646
669	1307	643
670	1309	641
671	1310	639
672	1312	637
673	1314	635
